  ,Цели блока,№ ,Название проекта,Краткое описание проекта,"Образовательные результаты (знает, понимает, умеет)",Список навыков,Уровень аудитории,Обязательные инструменты (через запятую),Сторителлинг,Формат,Кол-во в группе,"Трудоемкость, астр.часы","Трудоемкость, дни","Общая трудоемкость, дни",XP за проект,Название проекта на платформе и в Gitlab,Ссылки на GitLab/Google docs
,"Различия между frontend и backend
Frontend: интерфейс, HTML, CSS, JavaScript
Backend: бизнес-логика, базы данных, серверная архитектура
Языки и фреймворки: React, Vue, Angular, Python, PHP, Ruby
Fullstack-разработка и её особенности
Взаимодействие frontend и backend через API
Знакомство с Postman и Swagger
Мониторинг статусов здоровья библиотеки методов 
Отличия микросервисной архитектуры от монолитной
Роль менеджера при параллельной разработке интерфейса и логики
Лайфхаки по коммуникации с разработчиками
Составление технических инструкций (на примере подключения онлайн-оплаты)
Понимание ограничений и возможностей разных технологий
Функциональное, нагрузочное, интеграционное, системное и автоматизированное тестирование
Дополнительные виды: usability, модульное, smoke- и unit-тесты
Роли на этапе тестирования: тестировщик, QA-инженер, QA-лид, разработчик, заказчик
Документация: тест-план, тест-кейсы, баг-репорты, сводные отчёты
Инструменты и среды тестирования: эмуляторы, полигон, браузеры
Тестирование API: Postman, Swagger
Жизненный цикл релиза в корпоративных системах",20,Frontend и backend: взаимодействие и роль менеджера,"Разница между frontend и backend, языки программирования, инструменты разработчика, процесс тестирования и релиза.","Различать зоны ответственности frontend и backend
Описывать процесс взаимодействия между клиентом и сервером
Формулировать технические задачи на основе пользовательских сценариев
Писать инструкции для команды разработки
Коммуницировать с разработчиками на базовом техническом языке
Понимать, как API связывает интерфейс и бизнес-логику
Разбираться в работе методов Rest API, статусах, json-параметрах  
Различать особенности микросервисной архитектуры и монолитной
Использовать нейросети для написания кода
Использовать визуальные схемы и примеры для упрощения коммуникации
Выбирать подходящие виды тестирования под специфику проекта
Разрабатывать и структурировать тест-план
Распределять зоны ответственности между участниками
Формировать описание задачи для эффективного проведения тестов
Оценивать риски и планировать их митигирование
Понимать цели и шаги нагрузочного тестирования
Проводить тестирование Rest API библиотек
Понимать жизненный цикл релиза и его связи с тестированием
Оформлять документацию по итогам тестирования","Types and data structures
Analytical thinking
Requirements analysis",Средний,"GitLab, draw.io, таблицы, Markdown","Ты координируешь техническую команду и должен понимать, как решения разработки влияют на сроки, надежность и релиз. Нужно перевести технические зависимости на язык управленческих решений.",индивидуальный,,12,"4,08",8,120,PjM20_FrontBack, https://platform.21-school.ru/admin/materials/projects/73294
,"Состав и функции IT-инфраструктуры
СУБД: реляционные, NoSQL, графовые
Принципы выбора СУБД под разные задачи
Серверы: физические, виртуальные, облачные
Облачные модели (IaaS, PaaS, SaaS, FaaS)
Основные сервисы AWS/Azure/GCP (Compute, Storage, DB, Networking)
Хостинг и его роль в размещении проектов
Особенности высоконагруженных решений
Кэширование, балансировка, кластеризация, репликация
Роли специалистов на инфраструктурном этапе
Сравнение кейсов по параметрам инфраструктуры
Особенности тестирования высоконагруженных сервисов
Инструменты нагрузочного тестирования: JMeter, Gatling, LoadRunner
Нагрузочное тестирование облачных приложений",21,IT-инфраструктура проекта,"Что такое инфраструктура проекта: сервер, база данных, системы мониторинга, безопасность и надежность данных. ","Анализировать требования проекта и подбирать подходящую СУБД
Определять объёмы данных и их прирост
Выбирать тип хостинга и сервера под задачи проекта
Формировать инфраструктурные решения для проектов разного масштаба
Разбираться в моделях и сервисах облачных решений
Аргументировать выбор технологий и ролей специалистов
Оформлять результаты в виде презентации
Работать с терминами и визуальными схемами
Понимать цели и шаги нагрузочного тестирования
Анализировать особенности высоконагруженных решений","DevOps
Types and data structures
Analytical thinking
",Средний,"GitLab, draw.io, таблицы, Markdown","Ты координируешь техническую команду и должен понимать, как решения разработки влияют на сроки, надежность и релиз. Нужно перевести технические зависимости на язык управленческих решений.",индивидуальный,,12,"4,08",8,120,PjM21_ITInfStruct,https://platform.21-school.ru/admin/materials/projects/73295
Блок 8. Запуск проекта и организация поддержки,"Сценарии завершения проекта: запуск, закрытие, модернизация, достижение целей
Ретроспектива и постпроектный аудит: структура, цели, инструменты
Разбор кейсов: успешный запуск, прекращение, вывод из эксплуатации
Подготовка финальной презентации: структура, визуальные элементы, акценты
Аудит результатов и метрик проекта
Презентация проекта перед стейкхолдерами и другими командами
Форматы завершения коммуникации с заказчиком
Уроки проекта: чего удалось достичь, что можно было бы улучшить
Рефлексия в команде и обсуждение идей на будущее
Работа с обратной связью от других команд
Процесс завершения проекта: задачи и требования
Поддержка проекта после релиза
Организация и структура базы знаний (на примере Notion)
Документация: бухгалтерская, юридическая, проектная, административная
Наведение порядка в таск-трекерах и базах данных
Оформление технического долга и его приоритизация
Формирование пакета информации для команды сопровождения
Инструкции по взаимодействию с админ-панелью, средами и доступами
Практика передачи дел: отпуск, увольнение, ротация менеджеров
Принципы ретроспективы и передача знаний между участниками",22,Завершение проекта: запуск и презентация,"Варианты завершения проекта.
Проведение ретроспективы и постпроектного аудит.
Презентация завершенного проекта заказчику, визуализация результатов работы. ","Анализировать причины завершения проекта и оформлять выводы
Проводить ретроспективу и постпроектный аудит
Подготавливать презентацию результатов проекта с акцентом на цели, бюджет, риски
Проводить внутреннее обсуждение достижений и неудач
Структурировать обратную связь и формулировать улучшения
Оценивать целесообразность публичной презентации
Выступать перед командой и другими участниками образовательного процесса
Структурировать и вести базу знаний проекта
Определять и описывать технические долги
Оформлять ссылки и структуру доступов
Формировать содержание проектной, бухгалтерской и юридической документации
Фиксировать данные о команде, встречах, ретроспективах
Применять инструменты коллективной работы (Notion, Asana и др.)
Передавать проект команде сопровождения без потери информации","Leadership
Team work
Project planning
Project management",Средний,"Markdown, таблицы","Тебе нужно представить результаты проекта аудитории, которая не погружена в детали. Важно показать цель, ограничения, принятые решения и следующие шаги без перегрузки слушателей.",групповой,3-4,8,"2,72",6,80,PjM22_CompPro,https://platform.21-school.ru/admin/materials/projects/73296
,"Процесс завершения проекта: задачи и требования
Поддержка проекта после релиза
Организация и структура базы знаний (на примере Notion)
Документация: бухгалтерская, юридическая, проектная, административная
Наведение порядка в таск-трекерах и базах данных
Оформление технического долга и его приоритизация
Формирование пакета информации для команды сопровождения
Инструкции по взаимодействию с админ-панелью, средами и доступами
Практика передачи дел: отпуск, увольнение, ротация менеджеров
Принципы ретроспективы и передача знаний между участниками",25,Организация поддержки проекта,Основные шаги по созданию технической базы для дальнейшего саппорта,"Структурировать и вести базу знаний проекта
Определять и описывать технические долги
Оформлять ссылки и структуру доступов
Формировать содержание проектной, бухгалтерской и юридической документации
Фиксировать данные о команде, встречах, ретроспективах
Применять инструменты коллективной работы (Notion, Asana и др.)
Передавать проект команде сопровождения без потери информации",,Средний,"Markdown, таблицы",Ты работаешь младшим project manager в учебной IT-команде. Тебе нужно применить тему «Организация поддержки проекта» к рабочему кейсу: Основные шаги по созданию технической базы для дальнейшего саппорта,групповой,3-4,8,"2,72",6,80,,
,"Назначение и принципы работы систем аналитики
Подключение и настройка Google Analytics
Подключение и настройка Yandex.Metrica
Работа с Google Tag Manager и настройка тегов
Определение целей и создание воронок конверсий
Сводные отчёты и анализ ключевых метрик
Показатели отказов, глубина просмотра, источники трафика
Инструменты для Product Analytics: Amplitude, Mixpanel, Hotjar
Использование вебвизора и тепловых карт
Лучшие практики сбора, анализа и применения данных
Роль проектного менеджера в работе с аналитикой
Мониторинг производительности API ",21,Инструменты аналитики,"Работа с инструментами Google Tag Manager, Google Analytics, Яндекс Метрика, мониторинг ","Подключать и настраивать системы аналитики
Формулировать цели и строить воронки
Использовать GTM для централизованного управления тегами
Выгружать и анализировать сводные отчёты
Фиксировать поведение пользователей и выявлять точки отказа
Интерпретировать метрики для оптимизации продукта
Применять аналитику в рамках задач проектного менеджмента
Оценивать производительность API библиотеки  ",,Средний,"Google Analytics, Яндекс Метрика, Google Tag Manager, таблицы","Ты работаешь младшим project manager в учебной IT-команде. Тебе нужно применить тему «Инструменты аналитики» к рабочему кейсу: Работа с инструментами Google Tag Manager, Google Analytics, Яндекс Метрика, мониторинг",индивидуальный,,12,"4,08",8,120,,
Финальный экзамен (тестирование),Проверить уровень знаний пиров по всей пройденной программе,1,Финальный экзамен (тестирование),,,"DevOps
Leadership
Team work
Types and data structures
Project planning
Project management
Analytical thinking
Requirements analysis
Change management
Business modeling",Итоговый,"Markdown, таблицы","Ты завершаешь программу и проверяешь, можешь ли связать темы управления проектом в единую рабочую картину. Задача — показать не отдельные термины, а способность принимать решения в проектной ситуации.",,,2,,,,PjM_Ex,https://platform.21-school.ru/admin/materials/projects/73298
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,
